Close,roi_20,vol_change_1,impulse  -- 0.9214458605256151
Close,roi_20,vol_change_1,hour_0  -- 0.9213853565776812
Close,roi_5,candle_body_size,vol_change_3,hour_0  -- 0.9213118175329175
Close,roi_10,vol_change_3,impulse  -- 0.9209085069940229
Close,roi_10,vol_change_3,hour_0  -- 0.9207692090039209
Close,roi_5,roi_10,candle_body_size,impulse  -- 0.920609394056212
Close,roi_20,candle_size,hour_0  -- 0.9205699467119948
Close,roi_5,roi_10,candle_body_size,hour_0  -- 0.920521232373005
Close,roi_20,candle_size,impulse  -- 0.920450890958462
Close,roi_20,vol_change_1,impulse,hour_0  -- 0.9202619042589116
Close,roi_5,candle_body_size,vol_change_3,impulse,hour_0  -- 0.9202284266161728
Close,roi_10,vol_change_3,impulse,hour_0  -- 0.9196622819541572
Close,roi_5,roi_10,candle_body_size,impulse,hour_0  -- 0.9194410056345524
Close,roi_20,candle_size,impulse,hour_0  -- 0.9192435276782224
Close,vol_change_1,vol_change_2,candle_size  -- 0.9182070904881224
Close,roi_10,candle_body_size,vol_change_2  -- 0.9172578960807959
Close,vol_change_1,vol_change_2,candle_size,hour_0  -- 0.9169682414443698
Close,vol_change_1,vol_change_2,candle_size,impulse  -- 0.9168967242775732
Close,roi_5,roi_20  -- 0.9168708190193348
Close,candle_body_size,vol_change_2,vol_change_3  -- 0.9165836958356376
Close,roi_10,candle_body_size,vol_change_2,impulse  -- 0.9161749117882618
Close,roi_10,candle_body_size,vol_change_2,hour_0  -- 0.9160832036111414
Close,roi_5,roi_20,impulse  -- 0.9157838487737462
Close,roi_5,roi_20,hour_0  -- 0.9157086748048527
Close,vol_change_1,vol_change_2,candle_size,impulse,hour_0  -- 0.9156983403225445
Close,candle_body_size,vol_change_2,vol_change_3,impulse  -- 0.9155188361306941
Close,candle_body_size,vol_change_2,vol_change_3,hour_0  -- 0.915371091426465
Close,roi_10,candle_body_size,vol_change_2,impulse,hour_0  -- 0.9150030149291728
Close,roi_5,candle_body_size,vol_change_1,candle_size  -- 0.9148086658887455
Close,roi_5,vol_change_1,vol_change_2  -- 0.9146479146522026
Close,roi_5,roi_20,impulse,hour_0  -- 0.914624556746884
Close,roi_10,vol_change_1,candle_size  -- 0.9143166235316891
Close,candle_body_size,vol_change_2,vol_change_3,impulse,hour_0  -- 0.914309373326388
Close,roi_5,vol_change_2,candle_size  -- 0.9142941078333465
Close,vol_change_1,vol_change_3,candle_size  -- 0.9141508212633904
Close,roi_5,candle_body_size,vol_change_1,candle_size,hour_0  -- 0.913588212381093
Close,roi_5,vol_change_1,vol_change_2,impulse  -- 0.9135836327891973
Close,roi_5,candle_body_size,vol_change_1,candle_size,impulse  -- 0.913506758824955
Close,roi_5,vol_change_1,vol_change_2,hour_0  -- 0.913485130189098
Close,roi_20,candle_body_size,vol_change_1  -- 0.9132318680575553
Close,roi_10,vol_change_1,candle_size,hour_0  -- 0.9130976897311001
Close,roi_5,vol_change_2,candle_size,hour_0  -- 0.913063036429118
Close,roi_10,vol_change_1,candle_size,impulse  -- 0.9129874007335488
Close,roi_5,vol_change_2,candle_size,impulse  -- 0.912986641751691
Close,roi_20,vol_change_2  -- 0.9129224805309681
